NAMESPACE           LAST SEEN   TYPE      REASON               OBJECT                                                            MESSAGE
gatekeeper-system   50m         Normal    Pulling              pod/gatekeeper-controller-manager-648f896c99-nk5s6                Pulling image "openpolicyagent/gatekeeper:v3.15.1"
gatekeeper-system   50m         Normal    Scheduled            pod/gatekeeper-controller-manager-648f896c99-845b6                Successfully assigned gatekeeper-system/gatekeeper-controller-manager-648f896c99-845b6 to ip-10-0-2-180.ec2.internal
gatekeeper-system   50m         Normal    SuccessfulCreate     replicaset/gatekeeper-controller-manager-648f896c99               Created pod: gatekeeper-controller-manager-648f896c99-nk5s6
gatekeeper-system   50m         Normal    SuccessfulCreate     replicaset/gatekeeper-controller-manager-648f896c99               Created pod: gatekeeper-controller-manager-648f896c99-ltxt4
gatekeeper-system   50m         Normal    SuccessfulCreate     replicaset/gatekeeper-controller-manager-648f896c99               Created pod: gatekeeper-controller-manager-648f896c99-845b6
gatekeeper-system   50m         Normal    Scheduled            pod/gatekeeper-audit-64979b9cfc-t6l4n                             Successfully assigned gatekeeper-system/gatekeeper-audit-64979b9cfc-t6l4n to ip-10-0-1-224.ec2.internal
gatekeeper-system   50m         Normal    Scheduled            pod/gatekeeper-controller-manager-648f896c99-nk5s6                Successfully assigned gatekeeper-system/gatekeeper-controller-manager-648f896c99-nk5s6 to ip-10-0-2-180.ec2.internal
gatekeeper-system   50m         Normal    Scheduled            pod/gatekeeper-controller-manager-648f896c99-ltxt4                Successfully assigned gatekeeper-system/gatekeeper-controller-manager-648f896c99-ltxt4 to ip-10-0-1-224.ec2.internal
gatekeeper-system   50m         Normal    Pulling              pod/gatekeeper-audit-64979b9cfc-t6l4n                             Pulling image "openpolicyagent/gatekeeper:v3.15.1"
gatekeeper-system   50m         Normal    SuccessfulCreate     replicaset/gatekeeper-audit-64979b9cfc                            Created pod: gatekeeper-audit-64979b9cfc-t6l4n
gatekeeper-system   50m         Normal    ScalingReplicaSet    deployment/gatekeeper-controller-manager                          Scaled up replica set gatekeeper-controller-manager-648f896c99 to 3
gatekeeper-system   50m         Normal    ScalingReplicaSet    deployment/gatekeeper-audit                                       Scaled up replica set gatekeeper-audit-64979b9cfc to 1
gatekeeper-system   50m         Normal    Pulling              pod/gatekeeper-controller-manager-648f896c99-ltxt4                Pulling image "openpolicyagent/gatekeeper:v3.15.1"
